run	event
45224	40332
45224	113139
45224	157919
45224	210190
45224	236470
45224	289282
45224	289282
45224	289282
45224	343937
45224	412985
45224	426300
45224	440453
45224	440453
45224	476060
45224	485405
45224	522301
45224	526086
45224	527909
45224	527909
45224	550422
45224	550422
45224	614600
45224	615724
45224	623316
45224	660073
45224	672537
45224	757444
45224	798071
45224	835014
45224	869552
45224	920898
45224	920898
45224	920898
45225	34337
45225	45418
45225	66291
45225	66291
45225	109756
45225	109756
45225	110817
45225	169387
45225	198165
45225	198165
45225	232548
45225	232548
45225	236022
45225	290951
45225	350864
45225	388020
45225	388020
45225	543246
45225	579988
45225	625319
45225	748243
45225	748243
45225	770281
45225	792787
45225	849492
45225	936059
45225	936059
45225	947898
45225	982234
45225	988863
45226	30303
45226	30303
45226	56276
45226	63292
45226	94495
45226	100237
45226	115995
45226	117629
45226	140185
45226	173950
45226	207323
45226	340100
45226	379686
45226	384321
45226	428365
45226	453484
45226	472974
45226	496339
45226	527506
45226	547502
45226	594466
45226	608973
45226	620938
45226	620938
45226	639905
45226	667577
45226	702190
45226	897953
45226	907602
45226	907602
45226	920320
45226	920320
45226	929938
45226	960965
45226	976870
45227	21056
45227	21056
45227	50673
45227	50673
45227	57849
45227	91257
45227	99235
45227	99235
45227	107073
45227	120393
45227	120393
45227	127195
45227	150937
45227	255922
45227	264495
45227	316584
45227	356132
45227	415510
45227	415510
45227	415510
45227	456655
45227	464640
45227	474589
45227	495696
45227	538108
45227	538108
45227	543241
45227	543241
45227	561296
45227	561296
45227	591025
45227	591025
45227	604684
45227	662785
45227	676343
45227	676343
45227	676343
45227	693753
45227	736309
45227	774838
45227	781448
45227	781448
45228	20180
45228	20180
45228	70171
45228	137467
45228	138063
45228	175717
45228	175717
45228	176068
45228	183116
45228	202578
45228	254977
45228	279827
45228	320920
45228	367176
45228	367176
45228	367176
45228	382023
45228	389892
45228	420426
45228	444999
45228	447824
45228	447824
45228	449740
45228	466485
45228	488365
45228	503215
45228	529525
45228	532798
45228	550793
45228	609372
45228	619811
45228	620437
45228	682851
45228	702370
45228	702370
45228	747787
45228	747787
45228	798160
45228	845874
45228	845874
45228	888513
45228	888513
45229	34482
45229	60143
45229	60143
45229	67948
45229	172158
45229	217851
45229	228765
45229	252677
45229	252677
45229	287794
45229	287794
45229	317121
45229	334229
45229	343677
45229	355595
45229	381851
45229	382969
45229	430241
45229	458866
45229	556818
45229	579001
45229	626579
45229	669468
45229	678956
45229	712849
45229	732544
45229	847541
45229	886073
45229	886891
45229	886891
45229	927028
45229	938802
45229	949005
45229	949005
45229	968809
45229	980358
45229	998174
45230	33552
45230	39058
45230	71763
45230	98215
45230	156040
45230	156040
45230	308017
45230	337182
45230	347369
45230	356137
45230	356137
45230	385889
45230	394107
45230	465592
45230	492292
45230	492292
45230	502231
45230	512558
45230	516414
45230	538391
45230	543857
45230	600737
45230	628974
45230	637602
45230	675500
45230	686580
45230	686580
45230	689294
45230	699641
45230	699641
45230	709349
45230	709349
45230	737468
45230	833154
45230	850218
45230	861872
45230	861872
45230	864812
45230	883318
45230	951504
45230	952693
45230	952693
45230	988505
45230	988505
45231	19289
45231	145592
45231	145592
45231	145592
45231	164206
45231	164206
45231	187129
45231	214392
45231	228433
45231	228433
45231	245752
45231	278546
45231	340992
45231	340992
45231	372858
45231	414518
45231	467719
45231	490385
45231	498677
45231	498677
45231	503081
45231	503081
45231	507496
45231	539455
45231	583528
45231	584958
45231	589943
45231	589943
45231	617027
45231	624748
45231	624767
45231	636856
45231	709789
45231	715417
45231	715417
45231	726977
45231	789845
45231	792303
45231	793600
45231	798838
45231	810991
45231	841831
45231	859848
45231	892037
45231	905533
45231	961467
45231	965787
45231	965787
45231	965787
45232	83
45232	83
45232	106376
45232	123314
45232	129861
45232	184301
45232	235985
45232	235985
45232	244872
45232	256585
45232	376521
45232	416675
45232	470621
45232	476473
45232	517363
45232	517363
45232	517363
45232	518564
45232	585219
45232	657318
45232	663340
45232	663340
45232	678705
45232	685289
45232	685289
45232	691444
45232	736514
45232	744942
45232	746816
45232	782987
45232	805963
45232	846392
45232	846392
45232	861311
45232	865863
45232	890359
45232	890359
45232	955821
45232	983123
45233	53589
45233	57895
45233	57895
45233	122801
45233	181459
45233	214728
45233	329060
45233	356827
45233	402239
45233	404980
45233	404980
45233	424264
45233	458168
45233	498899
45233	528922
45233	593728
45233	763860
45233	794816
45233	826733
45233	826733
45233	834045
45233	847029
45233	853218
45233	896523
45233	900562
45233	914495
45233	917043
45234	81441
45234	96939
45234	109920
45234	109920
45234	131284
45234	148702
45234	160500
45234	160500
45234	160500
45234	211599
45234	211599
45234	259664
45234	273650
45234	274103
45234	329897
45234	329897
45234	374586
45234	420881
45234	420881
45234	452309
45234	476622
45234	595176
45234	645227
45234	656044
45234	656044
45234	671666
45234	822955
45234	853965
45234	895156
45234	895822
45234	910258
45234	910258
45234	956042
45234	956042
45234	957968
45234	957968
45234	970552
45235	24051
45235	93944
45235	121552
45235	139740
45235	139740
45235	148601
45235	148601
45235	148601
45235	163196
45235	177672
45235	177672
45235	182252
45235	203829
45235	204372
45235	204372
45235	229122
45235	232151
45235	232151
45235	234277
45235	255443
45235	306139
45235	364086
45235	386035
45235	414361
45235	435412
45235	458144
45235	516631
45235	603416
45235	603416
45235	603416
45235	619860
45235	634966
45235	634966
45235	634966
45235	648627
45235	652507
45235	657403
45235	664690
45235	674609
45235	697979
45235	697979
45235	706898
45235	740340
45235	846790
45235	850502
45236	15526
45236	40654
45236	69768
45236	72402
45236	91438
45236	140873
45236	140873
45236	144612
45236	144612
45236	148757
45236	161839
45236	161839
45236	169960
45236	171689
45236	254215
45236	275602
45236	328515
45236	368080
45236	376187
45236	430775
45236	494633
45236	588226
45236	602029
45236	659007
45236	700132
45236	799673
45236	806910
45236	806910
45236	814042
45236	856130
45236	862354
45236	888226
45236	903674
45236	935843
45236	977119
45236	999988
45236	999988
45237	83436
45237	138554
45237	159046
45237	159046
45237	159046
45237	176616
45237	176616
45237	187115
45237	187115
45237	187115
45237	200401
45237	229004
45237	229120
45237	309163
45237	310851
45237	320213
45237	398965
45237	406342
45237	407160
45237	407160
45237	412628
45237	412628
45237	448561
45237	448561
45237	583626
45237	583626
45237	617071
45237	621107
45237	621107
45237	708743
45237	718296
45237	747903
45237	747903
45237	753811
45237	758004
45237	869602
45237	959112
45237	959112
45237	959145
45237	964387
45237	968246
45237	968246
45237	996553
45238	97282
45238	111830
45238	112991
45238	122946
45238	123844
45238	123844
45238	159074
45238	198804
45238	236204
45238	256106
45238	256106
45238	287269
45238	314089
45238	314089
45238	314089
45238	329746
45238	333004
45238	352594
45238	352594
45238	356446
45238	356446
45238	388547
45238	388547
45238	388547
45238	401495
45238	572925
45238	580212
45238	655661
45238	655661
45238	657365
45238	689998
45238	697838
45238	783039
45238	797897
45238	797897
45238	836902
45238	838101
45238	892608
45238	905189
45238	905189
45238	921597
45239	9120
45239	9120
45239	21489
45239	25612
45239	25612
45239	76109
45239	84443
45239	84697
45239	135335
45239	152399
45239	152399
45239	152399
45239	251217
45239	288257
45239	320132
45239	332941
45239	332941
45239	340290
45239	362382
45239	362382
45239	386816
45239	413742
45239	607601
45239	617187
45239	678723
45239	678723
45239	679041
45239	679041
45239	687681
45239	817522
45239	817522
45239	939687
45239	939687
45239	943016
45239	943016
45240	64855
45240	66664
45240	75300
45240	78134
45240	112083
45240	115290
45240	130557
45240	130557
45240	162668
45240	251370
45240	280343
45240	368964
45240	377613
45240	390820
45240	454774
45240	454774
45240	520512
45240	608073
45240	631797
45240	637817
45240	664004
45240	701786
45240	710328
45240	715344
45240	729888
45240	733395
45240	740085
45240	831461
45240	831467
45240	831467
45240	843507
45240	843507
45240	867753
45240	910426
45240	910426
45240	910426
45240	923067
45240	923067
45240	953687
45240	966778
45240	976406
45240	994201
45240	994201
45241	6096
45241	6096
45241	7117
45241	9039
45241	85571
45241	112615
